,PITCHER,NAME,YEAR,Unnamed: 0,W,L,SV,IP,R,ER,PA,AB,H,HR,TB,BB,UBB,IBB,HBP,SO,PLAYERID,BASEBALLREFERENCECODE,WARP,TEAM
1218,30239,Hippo Vaughn,1910,10008,156,110,5,2317.335,835,595,9460,0.0,2006,23,0.0,701,701,0,72.0,1253,30239,vaughhi01,43.4,CHC
1219,30239,Hippo Vaughn,1920,10009,22,27,0,410.333,203,158,1755,0.0,454,16,0.0,112,112,0,13.0,161,30239,vaughhi01,3.5,CHC
1220,30245,Bob Veale,1960,10014,100,76,4,1611.3334,587,506,6397,5602.0,1372,67,1740.0,714,670,44,26.0,1428,30245,vealebo01,27.031825,PIT
1221,30245,Bob Veale,1970,10015,20,19,17,314.6666,168,152,1381,1203.0,312,24,448.0,144,126,18,3.0,275,30245,vealebo01,4.2880729,BOS
1222,30304,Dave Vonohlen,1980,10046,7,7,4,167.66660000000005,72,62,722,632.0,185,7,239.0,61,42,19,3.0,59,30304,vonohda01,-0.473799763,OAK
1223,30306,Ed Vosberg,1990,10049,9,13,13,182.0,97,85,808,702.0,201,16,292.0,78,65,13,7.0,137,30306,vosbeed01,1.2475678,TEX
1224,30317,Rube Waddell,1890,10057,7,3,1,93.0,44,32,0,0.0,86,4,0.0,20,20,0,9.0,49,30317,wadderu01,2.0,LOU
1225,30317,Rube Waddell,1900,10058,183,139,3,2835.3340000000003,1000,666,1972,0.0,2343,32,0.0,772,772,0,105.0,2251,30317,wadderu01,58.5,PHA
1226,30323,Jake Wade,1930,10063,15,23,0,377.6663,281,249,1767,0.0,420,32,0.0,263,263,0,4.0,152,30323,wadeja01,-1.1102230246251565e-16,DET
1227,30323,Jake Wade,1940,10064,12,17,3,290.66670000000005,140,122,1290,0.0,270,11,0.0,177,177,0,5.0,139,30323,wadeja01,1.1,CHW
1228,30325,Terrell Wade,1990,10065,8,5,1,126.3334,67,56,566,481.0,134,19,227.0,69,62,7,3.0,125,30325,wadete01,1.93870594,ATL
1229,30345,Rick Waits,1970,10079,51,46,4,791.6663,373,335,3348,2977.0,769,60,1111.0,321,307,14,8.0,349,30345,waitsri01,-0.10254919999999984,CLE
1230,30345,Rick Waits,1980,10080,28,46,4,635.3326999999998,368,339,2804,2498.0,745,50,1043.0,247,227,20,3.0,310,30345,waitsri01,-5.351697,CLE
1231,30351,Rube Walberg,1920,10082,75,67,18,1222.3339999999998,620,520,5260,0.0,1250,84,0.0,462,462,0,17.0,538,30351,walberu01,19.3,PHA
1232,30351,Rube Walberg,1930,10083,80,74,14,1421.6670000000001,803,703,6271,0.0,1545,79,0.0,569,569,0,10.0,547,30351,walberu01,19.6,BOS
1233,30358,Bill Walker,1920,10087,17,13,0,258.0003,120,105,1121,0.0,273,20,0.0,93,93,0,5.0,108,30358,walkebi01,4.3,NYG
1234,30358,Bill Walker,1930,10088,80,64,8,1231.6657,591,489,5384,0.0,1303,79,0.0,445,445,0,23.0,518,30358,walkebi01,13.8,STL
1235,30375,Kevin Walker,2000,10095,7,3,0,102.00010000000002,59,54,453,377.0,84,10,136.0,63,53,10,6.0,95,30375,walkeke02,1.2313051000000002,SDP
1236,30376,Luke Walker,1970,10097,41,37,6,629.3337,297,267,2722,2376.0,613,37,844.0,296,273,23,6.0,384,30376,walkelu01,-2.369967,PIT
1237,30408,Mike Wallace,1970,10121,11,3,3,181.6665,90,79,814,688.0,188,9,250.0,107,96,11,0.0,105,30408,wallami01,-0.4752886,NYY
1238,30472,Curt Wardle,1980,10153,8,9,1,119.0,85,81,538,462.0,130,22,241.0,62,62,0,2.0,89,30472,wardlcu01,-1.9792957,MIN
1239,30475,Cy Warmoth,1920,10157,8,5,0,124.0,70,53,563,0.0,118,4,0.0,85,85,0,1.0,53,30475,warmocy01,0.6,WSH
1240,30490,Dan Warthen,1970,10164,12,21,3,307.0004,163,147,1341,1107.0,253,26,389.0,198,191,7,3.0,224,30490,warthda01,0.9418190000000001,MON
1241,30522,Allen Watson,1990,10179,51,55,1,870.0003,522,474,3810,3372.0,949,133,1593.0,333,326,7,33.0,569,30522,watsoal01,5.932452,STL
1242,30525,Doc Watson,1910,10181,22,21,1,372.667,136,112,1475,0.0,326,4,0.0,137,137,0,12.0,133,30525,watsodo01,4.1,SLM
1243,30579,Bob Weiland,1930,10223,59,90,6,1316.3327000000004,749,611,5822,0.0,1391,81,0.0,563,563,0,33.0,580,30579,weilabo01,12.699999999999998,BOS
1244,30581,Carl Weilman,1910,10226,75,80,8,1337.6673,497,360,5239,0.0,1193,16,0.0,357,357,0,29.0,491,30581,weilmca01,23.6,SLB
1245,30581,Carl Weilman,1920,10227,9,13,2,183.333,103,91,754,0.0,201,6,0.0,61,61,0,3.0,45,30581,weilmca01,1.2,SLB
1246,30582,Jake Weimer,1900,10228,97,69,2,1472.6670000000001,511,365,5971,0.0,1227,14,0.0,493,493,0,73.0,657,30582,weimeja01,25.8,CHC
1247,30583,Lefty Weinert,1920,10230,16,31,2,408.3337,287,198,1876,0.0,486,24,0.0,201,201,0,16.0,136,30583,weinele01,0.7000000000000002,PHI
1248,30586,Roy Weir,1930,10232,6,4,0,106.3333,51,42,454,0.0,95,4,0.0,50,50,0,0.0,42,30586,weirro01,0.7,BSN
1249,30609,Ed Wells,1920,10241,37,37,7,637.6659999999998,389,335,2846,0.0,726,39,0.0,272,272,0,6.0,225,30609,wellsed01,1.2999999999999998,DET
1250,30609,Ed Wells,1930,10242,31,32,6,594.6677,361,302,2641,0.0,691,39,0.0,196,196,0,6.0,178,30609,wellsed01,5.6,NYY
1251,30615,Chris Welsh,1980,10245,22,31,0,537.6663,297,266,2333,2095.0,591,52,884.0,189,175,14,15.0,192,30615,welshch01,-2.008757,SDP
1252,30629,Bill Werle,1940,10255,12,13,0,221.0,117,104,945,0.0,243,23,0.0,51,51,0,8.0,106,30629,werlebi01,2.6,PIT
1253,30629,Bill Werle,1950,10256,17,26,15,444.3334,273,243,1809,720.0,527,58,313.0,143,143,0,15.0,177,30629,werlebi01,-0.8443373000000001,PIT
1254,30641,David West,1990,10260,27,34,3,499.6662,270,245,2203,1879.0,446,56,736.0,275,268,7,13.0,384,30641,westda01,-0.2543463999999999,PHI
1255,30683,Matt Whisenant,1990,10286,7,6,3,136.6668,84,78,616,508.0,130,7,171.0,87,83,4,13.0,102,30683,whisema01,-0.8449370999999999,KCR
1256,30702,Doc White,1900,10296,154,115,2,2315.0,806,565,1865,0.0,2022,26,0.0,499,499,0,86.0,1105,30702,whitedo01,34.900000000000006,CHW
1257,30702,Doc White,1910,10297,35,41,3,726.0,312,243,2936,0.0,716,7,0.0,171,171,0,34.0,279,30702,whitedo01,7.1,CHW
1258,30707,Ernie White,1940,10298,30,21,6,489.3331,198,151,2067,0.0,425,28,0.0,188,188,0,10.0,244,30707,whiteer01,7.4,STL
1259,30729,Earl Whitehill,1920,10310,87,78,6,1435.332,798,654,6299,0.0,1539,58,0.0,540,540,0,47.0,567,30729,whiteea01,15.3,DET
1260,30729,Earl Whitehill,1930,10311,131,107,5,2129.3323,1220,1072,9482,0.0,2378,134,0.0,891,891,0,54.0,783,30729,whiteea01,21.1,WSH
1261,30732,Len Whitehouse,1980,10314,9,4,4,115.6666,61,60,516,432.0,119,14,186.0,65,51,14,4.0,68,30732,whitele01,-0.34042290000000003,MIN
1262,30756,Kemp Wicker,1930,10328,9,5,0,109.0,70,60,497,0.0,138,10,0.0,38,38,0,0.0,19,30756,wickeke01,-0.1,NYY
1263,30767,Bob Wiesler,1950,10340,7,19,0,241.3332,171,154,1138,753.0,250,16,302.0,218,217,1,6.0,113,30767,wieslbo01,-0.6046311000000001,NYY
1264,30771,Bill Wight,1940,10343,27,35,2,517.6663,263,230,2270,0.0,544,19,0.0,263,263,0,2.0,160,30771,wightbi01,4.3,CHW
1265,30771,Bill Wight,1950,10344,50,64,6,1045.333,528,456,4304,2461.0,1112,55,880.0,451,444,7,12.0,414,30771,wightbi01,-2.808569,BAL
1266,30790,Lefty Wilkie,1940,10359,8,11,3,193.9997,104,99,867,0.0,215,5,0.0,80,80,0,2.0,37,30790,wilkile01,1.0,PIT
1267,30803,Nick Willhite,1960,10374,6,12,1,181.9999,104,92,795,707.0,195,27,320.0,75,70,5,2.0,118,30803,willhni01,2.1231468,LAD
1268,30842,Lefty Williams,1910,10389,60,34,5,887.0,352,283,3576,0.0,819,15,0.0,257,257,0,34.0,387,30842,willile01,9.7,CHW
1269,30842,Lefty Williams,1920,10390,22,14,0,299.0,145,130,1218,0.0,302,15,0.0,90,90,0,12.0,128,30842,willile01,3.5,CHW
1270,30887,Ted Wills,1960,10429,6,5,5,130.0,88,81,591,494.0,142,20,223.0,73,70,3,9.0,109,30887,willste01,0.9431164000000001,BOS
1271,30891,Whitey Wilshere,1930,10431,10,12,1,182.333,116,107,849,0.0,196,9,0.0,112,112,0,11.0,103,30891,wilshwh01,1.5999999999999999,PHA
1272,30933,Pete Wilson,1900,10456,9,8,0,132.6667,71,48,578,0.0,109,2,0.0,76,76,0,5.0,72,30933,wilsope01,0.3,NYY
1273,30940,Trevor Wilson,1990,10460,39,41,0,666.6664,312,284,2805,2448.0,612,58,910.0,273,255,18,23.0,394,30940,wilsotr01,6.61405225,SFG
1274,30945,Hal Wiltse,1920,10464,20,40,1,499.333,319,270,2262,0.0,586,17,0.0,211,211,0,16.0,134,30945,wiltsha01,3.1,BOS
