,BATTER,NAME,YEAR,YEAR.1,G,PA,AB,H,RBI,SF,R,HR,TB,BB,UBB,IBB,HBP,G_P,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,G_DH,SB,CS,BASEBALLREFERENCECODE,PLAYERID,WARP
454,31134,Butch Wynegar,1980,17856,724,2711,2306,584,256.0,20.0,254,34,795,358,336.0,22.0,5,0,691,0,0,0,0,0,0,0,0,11,5,8.0,wynegbu01,31134,13.6
455,31158,Steve Yeager,1970,15804,759,2596,2292,537,274.0,19.0,258,74,864,241,193.0,48.0,25,0,745,0,0,0,0,0,0,0,0,0,10,11.0,yeagest01,31158,14.7
456,31158,Steve Yeager,1980,13881,510,1418,1292,279,136.0,9.0,99,28,408,101,85.0,16.0,2,0,485,0,0,0,0,0,0,0,0,0,4,7.0,yeagest01,31158,3.0000000000000004
457,31177,Rudy York,1930,7748,344,1357,1173,355,298.0,0.0,223,88,692,175,0.0,0.0,4,0,239,22,0,41,0,14,0,0,14,0,9,4.0,yorkru01,31177,10.899999999999999
458,31321,John Buck,2000,12039,584,2116,1913,450,259.0,15.0,218,70,778,151,145.0,6.0,27,0,562,0,0,0,0,0,0,0,0,15,4,10.0,buckjo01,31321,2.0999999999999996
459,31321,John Buck,2010,10060,506,1893,1699,394,232.0,11.0,171,64,658,156,139.0,17.0,24,0,480,1,0,0,0,0,0,0,0,10,2,2.0,buckjo01,31321,3.5999999999999996
460,31391,Yadier Molina,2000,12039,669,2458,2215,596,263.0,16.0,189,35,808,178,159.0,19.0,20,0,656,14,0,0,0,0,0,0,0,1,13,12.0,molinya01,31391,8.2
461,31391,Yadier Molina,2010,20145,1314,5197,4755,1367,653.0,54.0,512,121,2016,329,299.0,30.0,46,0,1291,30,0,1,0,0,0,0,0,3,53,25.0,molinya01,31391,32.1
462,31547,Ryan Doumit,2000,10035,410,1483,1343,366,191.0,12.0,175,46,601,91,77.0,14.0,35,0,266,32,0,0,0,0,0,42,42,11,9,5.0,doumiry01,31547,6.800000000000001
463,31547,Ryan Doumit,2010,10060,570,1924,1750,452,222.0,14.0,175,58,734,141,127.0,14.0,18,0,264,4,0,0,0,26,0,65,91,103,3,1.0,doumiry01,31547,2.0
